Sentence #,Word,Tag
Sentence: 128,2in,Other
,neo,Material
,end,Application
,cap,Type
Sentence: 129,3p,Number of Poles
,150a,Amps
,cb,Voltage Maximum
Sentence: 130,277v,Coil Voltage
,starter,Type
Sentence: 131,480v,Other
,30hp,3 Phase Drive Horsepower Rating
,drv,Type
Sentence: 132,25a,Other
,iec,Other
,str,Type
Sentence: 133,dbl,Other
,row,Other
,term,Type
,block,Type
Sentence: 134,4p,Other
,250v,Voltage
,toggle,Type
,sw,Type
Sentence: 135,3000rpm,Speed Rating
,mtr,Type
Sentence: 136,3000rpm,Speed Rating
,mtr,Type
Sentence: 137,sz1.75,Other
,fvnr,Other
,n4,Size
,str,Type
Sentence: 138,heat,Other
,shrnk,Other
,tubing,Other
Sentence: 139,5-15/16,Length
,trq,Type
,wrn,Type
,head,Type
Sentence: 140,4-in,Other
,blb,Other
,conduit,Application
,body,Type
Sentence: 141,4p,Other
,30a,Other
,cnctr,Other
Sentence: 142,1/2,Other
,al,Material
,x,Other
,conduit,Application
,body,Type
Sentence: 143,encld,Other
,ceil,Other
,hps,Lamp Type
,fx,Other
Sentence: 144,indctv,Type
,prx,Type
,sen,Type
Sentence: 145,8.2ohm,Other
,res,Type
Sentence: 146,30mm,Size
,24v,Voltage
,pb,Type
Sentence: 147,414a,Other
,str,Type
Sentence: 148,20a,Other
,contactor,Other
Sentence: 149,3p,Number of Poles
,100a,Amps
,cb,Other
Sentence: 150,24v,Other
,transformer,Type
Sentence: 151,3ph,Phase
,c-str,Other
Sentence: 152,hex,Drive
,head,Other
Sentence: 153,60a,Other
,480v,Other
,fuse,Other
,block,Other
Sentence: 154,wire,Type
,mrkr,Type
,slv,Type
Sentence: 155,26a460v,Other
,sftstr,Other
Sentence: 156,inspection,Type
,mirror,Type
Sentence: 157,60hp,3 Phase Drive Horsepower Rating
,drv,Type
Sentence: 158,3p,Number of Poles
,30a,Amps
,cb,Voltage Maximum
Sentence: 159,120v,Coil Voltage
,n4x,Other
,str,Overload Relay
Sentence: 160,22-1/2d,Other
,wireway,Type
,ell,Material
Sentence: 161,6,Size
,120,Length
,wireway,Type
,sect,Material
Sentence: 162,3ph,Phase
,75kva,Other
,tfm,Other
Sentence: 163,24vdc,Other
,blu,Color
,strobe,Type
,lt,Other
Sentence: 164,master,Type
,set,Type
,w/toolbox,Other
Sentence: 165,4a,Amps
,300v,Voltage
,receptacle,Type
Sentence: 166,nm1,NEMA
,hng/sc,Other
,wwy,Other
Sentence: 167,4500rpm,Speed Rating
,mtr,Type
Sentence: 168,1.812-1.937in,Other
,c/g,Other
Sentence: 169,13/16,Other
,drive,Type
,socket,Type
Sentence: 170,6-300,Other
,alcu,Material
,scr,Other
,lug,Material
Sentence: 171,20hp,3 Phase Drive Horsepower Rating
,drv,Type
Sentence: 172,75hp,3 Phase Drive Horsepower Rating
,drv,Type
Sentence: 173,#12-10-16-14,Other
,splc,Type
Sentence: 174,208v,Other
,1hp,Other
,drv,Type
Sentence: 175,5.5-22a,Other
,n12/3r,Phase
,str,Type
Sentence: 176,1/2,Other
,5,Other
,insd,Type
,nt-drvr,Type
Sentence: 177,3p,Number of Poles
,40a,Amps
,cb,Other
Sentence: 178,seal,Type
,hub,Type
Sentence: 179,2-cdr,Conductor Count
,20awg,Other
,cbl,Other
Sentence: 180,25ft,Length
,cord,Type
,set,Type
Sentence: 181,contct,Type
,block,Type
,tape,Type
,seal,Type
Sentence: 182,12-in,Other
,1/6hp,Other
,1ph,Other
,fan,Type
Sentence: 183,crimping,Other
,tool,Other
,die,Type
Sentence: 184,3-1/3,Other
,s/d,Other
Sentence: 185,7/8,Other
,socket,Type
Sentence: 186,24v,Coil Voltage
,n1,Other
,str,Type
Sentence: 187,3ph,Phase
,c-str,Other
Sentence: 188,1/2,Other
,1g,Other
,electrolet,Other
Sentence: 189,3000rpm,Speed Rating
,mtr,Type
Sentence: 190,3p,Number of Poles
,200a,Other
,fus,Other
,dis-sw,Other
Sentence: 191,20a,Other
,125v,Voltage
,rcp,Other
,asy,Other
Sentence: 192,gav,Other
,grill/sld,Type
,cvr,Type
,kt,Type
Sentence: 193,1,Other
,1/2,Other
,cu,Other
,exp,Other
,tb,Other
Sentence: 194,3/8,Drive
,deep,Socket Depth
,skt,Type
,set,Type
Sentence: 195,225va,Other
,tfm,Other
Sentence: 196,fs,Other
,combo,Other
,fvnr,Other
,encl1,Other
Sentence: 197,3ph,Phase
,c-str,Other
Sentence: 198,undervoltage,Other
,trip,Other
Sentence: 199,1,Other
,2.433,Other
,slv,Other
Sentence: 200,3w,Other
,prox,Type
,sensor,Type
Sentence: 201,panel,Type
,only,Other
Sentence: 202,lc,Type
,fbr,Type
,polishing,Other
,puck,Other
Sentence: 203,1,Size
,0.125,Other
,gnd,Type
,busbar,Other
Sentence: 204,lkg,Other
,rcpt-nma,Other
,l16-30r,NEMA
Sentence: 205,gy,Color
,pb,Type
,shroud,Type
Sentence: 206,350kcmil,Voltage
,lug,Other
Sentence: 207,18awg,Other
,butt,Type
,splice,Type
Sentence: 208,3p,Phase
,65a,Other
,str,Type
Sentence: 209,3ph,Phase
,208v,Coil Voltage
,str,Type
Sentence: 210,3-5/8,Other
,hole,Type
,saw,Type
Sentence: 211,7pc,Other
,torx,Type
,bit,Type
,set,Type
Sentence: 212,2p,Other
,24v,Other
,mnt,Lamp Type
,ill,Type
,sel,Type
,sw,Type
Sentence: 213,2000rpm,Speed Rating
,mtr,Type
Sentence: 214,25ft,Length
,cord,Type
,set,Type
Sentence: 215,3p,Number of Poles
,80a,Amps
,cb,Voltage Maximum
Sentence: 216,3000rpm,Speed Rating
,mtr,Type
Sentence: 217,blk,Other
,legend,Other
,plate,Type
Sentence: 218,3hp,3 Phase Drive Horsepower Rating
,drv,Type
Sentence: 219,hanger,Other
,w/o,Other
,bolt,Other
Sentence: 220,sz3.5,Phase
,fvnr,Other
,n4,Other
,str,Type
Sentence: 221,1hp,3 Phase Drive Horsepower Rating
,drv,Type
Sentence: 222,15a,Other
,250v,Other
,6-15r,NEMA
,dplx,Type
,rcp,Number of Poles
Sentence: 223,208v,Other
,2hp,Other
,drv,Type
Sentence: 224,2p,Number of Poles
,125a,Amps
,cb,Other
Sentence: 225,wire,Type
,marker,Other
,10pk,Other
Sentence: 226,1g,Other
,wallplate,Other
Sentence: 227,hps,Other
,lamp,Type
Sentence: 228,20a,Other
,125v,Other
,dup,Type
,cml,Type
,rcpt,Type
Sentence: 229,120/240v,Coil Voltage
,fvnr,Other
,str,Type
Sentence: 230,3ph,Phase
,c-str,Other
Sentence: 231,2g,Other
,wallplate,Other
Sentence: 232,2pos,Other
,red,Other
,pb,Other
Sentence: 233,emg,Type
,gnrtr,Type
,pnl,Type
Sentence: 234,250a,Other
,dis-sw,Other
Sentence: 235,2,Other
,9/16,Other
,5,Other
,supp,Other
,tb,Other
Sentence: 236,1-11/16,Drive Size
,angl,Type
,wrnch,Type
Sentence: 237,blk,Other
,adapter,Other
,panel,Other
Sentence: 238,600v,Other
,rcp,Number of Poles
Sentence: 239,small,Other
,dim,Other
,td,Other
,fus,Other
Sentence: 240,3p,Number of Poles
,2000a,Amps
,cb,Other
Sentence: 241,brz,Other
,4cbl,Stud Holes
,terminal,Type
,lug,Other
Sentence: 242,replacement,Other
,lamp,Type
Sentence: 243,pwr,Type
,cbl,Other
Sentence: 244,50hp,3 Phase Drive Horsepower Rating
,drv,Type
Sentence: 245,2no&2nc,Other
,fire,Type
,alarm,Type
,stn,Type
Sentence: 246,250va,Other
,tfmr,Type
Sentence: 247,pipe&rigid,Other
,clamp,Type
Sentence: 248,7.5hp,Other
,drv,Type
Sentence: 249,1/2,Other
,npt,Other
,m,Other
,strt,Other
,slg,Other
,grip,Type
Sentence: 250,7.5kw,Other
,cnctr,Type
Sentence: 251,3000rpm,Speed Rating
,mtr,Type
Sentence: 252,6pc,Other
,s/d,Other
,set,Type
Sentence: 253,156a,Other
,str,Type
Sentence: 254,3/8,Diameter
,16,Length
,18,Length
,drl,Other
,bit,Other
Sentence: 255,3p,Number of Poles
,1200a,Amps
,cb,Voltage Maximum
Sentence: 256,8000ft-lbs,Other
,torq,Type
,mltplr,Type
Sentence: 257,1/2,Other
,blu,Type
,shoehorn,Other
Sentence: 258,small,Other
,dim,Other
,fus,Other
Sentence: 259,3p,Number of Poles
,cb,Other
,frame,Other
Sentence: 260,3p,Other
,600a,Other
,cb,Other
Sentence: 261,1hp,3 Phase Drive Horsepower Rating
,drv,Type
Sentence: 262,panel,Other
,fits,Other
,130,Other
,80mm,Other
Sentence: 263,300ka,Other
,spdev,Type
Sentence: 264,stacklt,Type
,assy,Other
Sentence: 265,12,Length
,hlf,Type
,rnd,Other
,file,Type
Sentence: 266,145a,Other
,460v,Other
,sft,Other
,str,Other
Sentence: 267,4sq,Type
,1g,Other
,tile,Type
,ring,Capacity
Sentence: 268,6,Height
,4,NEMA
,3,NEMA
,mstl,Material
,j-box,Other
Sentence: 269,1hp,3 Phase Drive Horsepower Rating
,drv,Type
Sentence: 270,36in,Other
,red,Color
,ptchcrd,Color
Sentence: 271,18,Height
,12,Width
,6in,Depth
,scr,Other
,cvr,Other
Sentence: 272,3-in,Other
,mall,Material
,c,Other
,cond,Application
,body,Type
Sentence: 273,3hp,3 Phase Drive Horsepower Rating
,480v,Other
,drv,Type
Sentence: 274,15amp,Other
,power,Other
,panel,Other
Sentence: 275,112.5kva,Other
,tfm,Other
Sentence: 276,semicond,Other
,fuse,Other
Sentence: 277,2no,Other
,1no,Other
,sw,Other
,block,Other
Sentence: 278,1gb,Other
,pnl,Other
,pc,Type
Sentence: 279,amb,Other
,xprfstrobe,Type
Sentence: 280,1-100w,Watts
,blk,Other
,lantern,Fixture Type
Sentence: 281,14in,Other
,40#,Other
,nat,Color
,cbl,Type
,tie,Type
Sentence: 282,tvss,Type
,ig,Other
,dplx,Type
,rcpt,Type
Sentence: 283,3p600a,Amps
,cb,Voltage Maximum
Sentence: 284,intermediate,Type
,metallic,Type
,conduit,Type
Sentence: 285,8p,Other
,20a,Other
,cnctr,Other
Sentence: 286,cb,Other
,rel,Other
Sentence: 287,460v,Voltage
,air,Other
,cndnr,Other
Sentence: 288,24,Voltage
,3p,Other
,yel,Other
,il,Other
,p/pl,Other
Sentence: 289,3/4,Other
,1h,Other
,mall,Size
,cond,Other
,strap,Other
Sentence: 290,15a,Amps
,120/277vac,Voltage
,wht,Color
,sw,Type
Sentence: 291,plg/rcp,Material
,hdl,Type
Sentence: 292,fl,Other
,sgl,Type
,rcpt-nema15-30r,NEMA
Sentence: 293,proximity,Type
,sensor,Type
Sentence: 294,13mm,Other
,box,Other
,end,Other
,wrn,Other
Sentence: 295,480v,Voltage
,rcp,Type
Sentence: 296,wincc,Type
,sftwr,Other
Sentence: 297,65a,Other
,iec,Other
,str,Type
Sentence: 298,gfci,Other
,rcpt,Other
,utility,Type
,cover,Other
Sentence: 299,1/8d,Other
,rcpt,Other
,cover,Type
Sentence: 300,3pk,Other
,stl,Other
,fish,Type
,tape,Type
Sentence: 301,.18-.25a,Other
,120v,Other
,man,Other
,str,Other
Sentence: 302,2000rpm,Other
,mtr,Type
Sentence: 303,20-ga,Other
,instrument,Height
,case,Other
Sentence: 304,term,Other
,blok,Other
,end,Other
,cvr,Other
Sentence: 305,n12,Other
,comb,Other
,starter,Other
Sentence: 306,hor,Other
,tee,Other
,cable,Other
,mold,Type
Sentence: 307,retrofit,Other
,conversion,Other
,kit,Other
Sentence: 308,yel,Other
,l-sw,Other
,cvr,Type
Sentence: 309,sw,Other
,aux,Other
,cnt,Other
,1,Other
,no,Other
Sentence: 310,1/2,Size
,1-3/8,Other
,fender,Type
,washer,Type
Sentence: 311,46-90,Other
,wire,Type
,marker,Type
,book,Type
Sentence: 312,3ph,Phase
,c-str,Other
Sentence: 313,21mm,Drive Size
,open,Type
,end,Type
,j,Type
Sentence: 314,3p,Other
,fvr,Type
,25a,Other
,cnctr,Type
Sentence: 315,outlet,Type
,pedestal,Other
Sentence: 316,power,Type
,cable,Other
Sentence: 317,70w,Other
,c&c,Other
,mh,Other
,bal,Lamp Type
Sentence: 318,ph-e,Type
,sen,Other
Sentence: 319,lv,Other
,pc,Other
,board,Other
,low,Type
,prfile,Other
Sentence: 320,pls,Material
,sgl,Type
,lock,Type
,lever,Type
Sentence: 321,380v,Voltage
,amb,Color
,led,Other
,lt,Type
Sentence: 322,3/4,Other
,npt,Other
,wl,Other
,bx,Other
Sentence: 323,1.10,Other
,4ft,Length
,shrink,Other
,tubing,Other
Sentence: 324,hub,Type
,2in,Size
Sentence: 325,38m,Length
,sig,Type
,cbl,Other
Sentence: 326,1/4drv,Drive
,13mm,Other
,12pt,Point
,skt,Socket Depth
Sentence: 327,signal,Voltage
,cable,Voltage
Sentence: 328,2000rpm,Speed Rating
,mtr,Type
Sentence: 329,700w,Capacity
,120v,Voltage
,slide,Other
,dmr,Type
Sentence: 330,3p,Number of Poles
,60a,Amps
,cb,Other
Sentence: 331,13mm,Other
,1/2drv,Drive
,12pt,Point
,skt,Type
Sentence: 332,3w/ckt,Other
,grd,Other
,plugmold,Other
Sentence: 333,wl,Other
,gf,Other
,alarm,Other
,module,Other
Sentence: 334,12mm,Diameter
,prx,Type
,sen,Type
Sentence: 335,ph-e,Type
,sen,Type
Sentence: 336,112.5kva,Other
,tfm,Other
Sentence: 337,230v,Other
,25hp,3 Phase Drive Horsepower Rating
,drv,Type
Sentence: 338,2400w,Voltage
,cable,Other
,mat,Other
Sentence: 339,2h,Other
,corner,Other
,conn,Other
Sentence: 340,line,Other
,auto,Type
,transformer,Type
Sentence: 341,4/24,Other
,blk,Color
,1000ft,Other
,cbl,Color
Sentence: 342,univ,Other
,transparent,Other
,guard,Other
Sentence: 343,2in,Label Width
,slv,Other
Sentence: 344,3ph,Phase
,120v,Coil Voltage
,str,Type
Sentence: 345,8awg,Other
,1/2,Other
,term,Other
Sentence: 346,3000rpm,Speed Rating
,mtr,Type
Sentence: 347,transfer,Type
,label,Type
Sentence: 348,3p,Phase
,277v,Coil Voltage
,str,Type
Sentence: 349,30mm,Size
,n-ilum,Type
,pb,Type
Sentence: 350,40hp,3 Phase Drive Horsepower Rating
,drv,Type
Sentence: 351,45kva,Other
,tfm,Other
Sentence: 352,blu,Other
,2-1/2,Trade Size
,ctd,Other
,hub,Type
Sentence: 353,12-10awg,Other
,but,Type
,spl,Type
,term,Other
Sentence: 354,24v,Voltage
,wht,Color
,ind,Type
,light,Type
Sentence: 355,1ph,Phase
,starter,Type
Sentence: 356,3pos,Other
,key,Other
,sel,Type
,sw,Type
Sentence: 357,150a,Other
,3w4p,Other
,arkte,Other
,rcpt,Other
Sentence: 358,software,Other
Sentence: 359,2000rpm,Speed Rating
,mtr,Type
Sentence: 360,stacklt,Type
,assy,Other
Sentence: 361,jct,Type
,box,Type
,w/hub,Other
Sentence: 362,3/4,Trade Size
,45d,Other
,l/t,Other
,conn,Type
Sentence: 363,500va,Other
,240-120/240v,Other
,ct,Other
Sentence: 364,8p,Other
,240v,Other
,rly,Type
Sentence: 365,3p,Number of Poles
,32a,Amps
,cb,Other
Sentence: 366,50a,Other
,120/240vac,Other
,pwr,Other
,box,Other
Sentence: 367,1.5hp,Other
,drv,Type
Sentence: 368,4-100w,Other
,med,Other
,bath,Type
,brkt,Other
Sentence: 369,#8,Other
,sq,Other
,drv,Other
,scr,Type
,kit,Type
Sentence: 370,30mm,Diameter
,prx,Type
,sen,Type
Sentence: 371,bare,Other
,copper,Type
,wire,Other
Sentence: 372,80a,Other
,cnctr,Type
Sentence: 373,24v,Other
,blu,Color
,ill,Other
,pb&gd,Other
Sentence: 374,enc,Type
,panel,Type
Sentence: 375,pump,Other
,control,Other
,pnl,Other
Sentence: 376,blu,Color
,pb,Color
,switch,Other
Sentence: 377,30hp,3 Phase Drive Horsepower Rating
,drv,Type
Sentence: 378,1-3/16,Point
,3/4drv,Drive
,skt,Type
Sentence: 379,fs,Other
,nema,Other
,fvnrencl12-c,Other
Sentence: 380,50ft,Length
,cord,Type
,set,Type
Sentence: 381,600v,Other
,drive,Type
Sentence: 382,3/8,Other
,.187-.25,Other
,conn,Type
Sentence: 383,building,Cable Type
,wire,Cable Type
Sentence: 384,4/23,Other
,wht,Color
,1000ft,Other
,cbl,Cable Type
Sentence: 385,30.5mm,Size
,pb,Type
,oper,Type
Sentence: 386,nema,Other
,sz,Other
,5,Size
,rev,Type
,cont,Type
Sentence: 387,neutral,Connector Type
,4ckt,Other
,tap,Connector Type
,bar,Connector Type
Sentence: 388,30.5mm,Size
,pb,Type
Sentence: 389,125hp,3 Phase Drive Horsepower Rating
,drv,Type
Sentence: 390,3p,Number of Poles
,250a,Amps
,600v,Voltage Maximum
,cb,Voltage Maximum
Sentence: 391,1100,Other
,800,Other
,subpanel,Type
Sentence: 392,elb,Material
,frn,Type
,cvr,Type
,dvdr,Type
Sentence: 393,2000rpm,Speed Rating
,mtr,Type
Sentence: 394,legend,Other
,plate,Type
Sentence: 395,v7.2,Type
,sftwr,Other
Sentence: 396,wire,Type
,mrkr,Type
,slv,Type
Sentence: 397,450rpm,Speed Rating
,mtr,Type
Sentence: 398,16-14ringvinyl3/8,Other
,sd,Other
Sentence: 399,fluor,Lamp Type
,light,Type
Sentence: 400,nema1,NEMA
,sc,Other
,box-no,Other
,ko,Type
Sentence: 401,compact,Other
,cooling,Type
,fan,Type
Sentence: 402,3p,Other
,m/mfe,Other
,cordset,Assembly Type
Sentence: 403,24v,Other
,5pin,Other
,mod,Type
Sentence: 404,1000,Other
,600,Other
,solid,Type
,top,Type
Sentence: 405,hmi,Other
,software,Type
Sentence: 406,1-30a,Amps
,fuse,Other
,block,Other
Sentence: 407,5.08kv,Voltage
,lmtg,Other
,fuse,Other
Sentence: 408,audio,Type
,transformer,Type
Sentence: 409,ip,Other
,camera,Type
Sentence: 410,aux,Other
,swi,Other
,blck,Other
Sentence: 411,2000rpm,Speed Rating
,mtr,Type
Sentence: 412,30a,Other
,277v,Coil Voltage
,cnctr,Other
Sentence: 413,7a,Other
,iec,Other
,str,Type
Sentence: 414,lock,Type
,adapter,Type
Sentence: 415,2200,Other
,600,Other
,side,Type
,adp,Type
Sentence: 416,800a,Other
,encl,Other
,ckt,Other
,brkr,Other
Sentence: 417,1000,Other
,500,Other
,brr,Type
,panel,Type
Sentence: 418,3000rpm,Speed Rating
,mtr,Type
Sentence: 419,1hole,Stud Holes
,lug,Other
,1/2,Stud Holes
,350,Other
,cu,Conductor Type
Sentence: 420,30/2c,Conductor Count
,stereo,Conductor Type
,cbl,Type
Sentence: 421,2000rpm,Other
,mtr,Type
Sentence: 422,cbl,Other
,ext,Type
Sentence: 423,lt/sound,Other
,combi,Other
Sentence: 424,rduv,Type
,str,Type
Sentence: 425,120vac,Other
,relay,Type
Sentence: 426,strobe,Other
,lt,Type
Sentence: 427,3-12a,Phase
,240v,Coil Voltage
,str,Type
Sentence: 428,12v360w,Other
,emerg,Type
,unit,Type
Sentence: 429,reset,Other
,l-plt,Other
Sentence: 430,3ph,Phase
,c-str,Other
Sentence: 431,1in,Trade Size
,cond,Application
,expan,Type
,cplg,Type
Sentence: 432,9/16,Other
,5/8,Other
,12pt,Other
,box,Type
,wrnch,Type
Sentence: 433,t3n,Other
,125a,Other
,3p,Number of Poles
,t/m,Other
,cb,Voltage Maximum
Sentence: 434,frame,Type
,1400,Other
,800,Other
,800mm,Other
Sentence: 435,power,Type
,cbl,Other
Sentence: 436,72,Height
,60,Width
,24,Depth
,2dr,NEMA
,encl,Type
